millis,rpm1,filterRpm_1,w1,rpm2,filterRpm_2,w2,rpm3,filterRpm_3,w3
2118654,112.3,99.48,18445,112.3,114.38,18445,96.26,100.24,18445
2118664,96.26,100.05,18425,112.3,114.13,18425,96.26,99.77,18425
2118674,96.26,99.6,18405,112.3,113.92,18405,96.26,99.35,18405
2118684,96.26,99.21,18385,112.3,113.73,18385,96.26,98.99,18385
2118694,96.26,98.86,18365,112.3,113.56,18365,96.26,98.66,18365
2118704,96.26,98.55,18345,112.3,113.41,18345,112.3,99.33,18345
2118714,112.3,99.23,18325,112.3,113.28,18325,96.26,99.91,18325
2118724,96.25,99.82,18305,112.29,113.16,18305,96.25,99.48,18305
2118734,96.26,99.4,18285,112.3,113.06,18285,96.26,99.1,18285
2118744,96.27,99.03,18265,112.31,112.97,18265,96.27,98.76,18265
2118754,96.26,98.7,18245,112.3,112.89,18245,96.26,98.47,18245
2118764,96.26,98.41,18225,112.3,112.82,18225,96.26,98.21,18225
2118775,102.03,98.5,18195,116.61,113.01,18195,102.03,98.32,18195
2118785,96.31,98.58,18185,112.37,113.19,18185,96.31,98.42,18185
2118795,96.26,98.31,18165,112.3,113.09,18165,96.26,98.17,18165
2118805,96.2,98.06,18135,112.23,112.99,18135,96.2,97.94,18135
2118815,96.26,97.85,18115,112.3,112.9,18115,112.3,98.68,18115
2118825,96.31,97.66,18105,112.37,112.84,18105,96.31,99.35,18105
2118835,96.2,97.5,18075,112.23,112.77,18075,96.2,98.98,18075
2118845,96.31,97.35,18065,112.37,112.72,18065,96.31,98.66,18065
2118855,96.26,97.22,18045,112.3,112.67,18045,96.26,98.38,18045
2118865,96.26,97.11,18025,112.3,112.63,18025,96.26,98.13,18025
2118875,96.26,97.01,18005,112.3,112.59,18005,96.26,97.91,18005
2118885,96.26,96.92,17985,112.3,112.55,17985,96.26,97.71,17985
2118895,80.21,95.89,17965,112.3,112.52,17965,96.26,97.54,17965
2118905,96.26,94.99,17945,112.3,112.5,17945,96.26,97.39,17945
2118915,96.26,95.14,17925,112.3,112.47,17925,96.26,97.25,17925
2118925,96.26,95.27,17905,112.3,112.45,17905,96.26,97.14,17905
2118935,96.2,95.38,17875,112.23,112.43,17875,96.2,97.03,17875
2118945,80.26,94.54,17865,112.37,112.42,17865,96.31,96.94,17865
2118955,96.2,93.79,17835,96.2,111.45,17835,96.2,96.86,17835
2118965,96.3,94.08,17825,112.36,110.61,17825,96.3,96.79,17825
2118975,96.25,94.34,17805,112.29,110.81,17805,96.25,96.73,17805
2118985,80.23,93.62,17785,112.32,110.99,17785,96.28,96.67,17785
2118995,96.26,92.98,17765,112.3,111.14,17765,96.26,96.62,17765
2119005,96.26,93.37,17745,112.3,111.28,17745,96.26,96.58,17745
2119015,80.16,92.76,17715,112.22,111.39,17715,96.19,96.54,17715
2119025,96.26,92.22,17695,112.3,111.5,17695,96.26,96.5,17695
2119035,80.21,91.75,17675,96.26,110.64,17675,96.26,96.47,17675
2119045,96.32,91.34,17665,112.38,109.9,17665,96.32,96.45,17665
2119055,96.2,91.92,17635,112.23,110.18,17635,96.2,96.43,17635
2119065,80.21,91.48,17615,112.3,110.43,17615,96.26,96.4,17615
2119075,96.26,91.1,17595,112.3,110.65,17595,96.26,96.39,17595
2119085,80.26,90.76,17585,96.31,109.9,17585,96.31,96.37,17585
2119095,96.2,90.46,17555,112.23,109.23,17555,96.2,96.36,17555
2119105,80.26,90.2,17545,112.37,109.6,17545,96.31,96.35,17545
2119115,96.26,89.97,17525,112.3,109.92,17525,96.26,96.34,17525
2119125,96.26,90.71,17505,112.3,110.2,17505,96.26,96.33,17505
2119135,80.21,90.42,17485,96.26,109.5,17485,96.26,96.32,17485
2119145,96.2,90.16,17455,112.23,108.88,17455,96.2,96.31,17455
2119155,80.26,89.93,17445,112.37,109.28,17445,96.31,96.3,17445
2119165,96.2,89.73,17415,112.23,109.64,17415,96.2,96.3,17415
2119175,80.26,89.55,17405,96.31,109.01,17405,96.31,96.29,17405
2119185,96.2,89.4,17375,112.23,108.45,17375,96.2,96.29,17375
2119195,80.26,89.26,17365,112.37,108.9,17365,96.31,96.29,17365
2119205,96.26,89.14,17345,112.3,109.31,17345,80.21,95.34,17345
2119215,80.21,89.03,17325,96.26,108.71,17325,96.26,94.5,17325
2119225,96.26,88.94,17305,112.3,108.19,17305,96.26,94.71,17305
2119235,80.21,88.86,17285,112.3,108.67,17285,96.26,94.89,17285
2119245,96.26,88.78,17265,96.26,108.15,17265,96.26,95.05,17265
2119255,80.21,88.72,17245,112.3,107.7,17245,96.26,95.19,17245
2119265,80.17,87.71,17215,112.23,108.24,17215,96.2,95.32,17215
2119275,96.31,87.77,17205,96.31,107.77,17205,80.26,94.48,17205
2119285,80.17,87.83,17175,112.23,107.35,17175,96.2,93.74,17175
2119296,87.55,87.36,17155,102.14,107.33,17155,102.14,94.38,17155
2119306,96.27,87.9,17135,112.31,107.32,17135,80.22,94.0,17135
2119316,80.21,87.94,17115,112.29,107.91,17115,96.25,93.32,17115
2119326,96.27,87.97,17095,96.27,107.48,17095,96.27,93.67,17095
2119336,80.21,88.0,17075,112.3,107.1,17075,96.26,93.97,17075
2119346,80.21,87.08,17055,112.3,107.72,17055,80.21,93.3,17055
2119356,96.26,87.22,17035,96.26,107.31,17035,96.26,92.7,17035
2119366,80.21,87.34,17015,112.3,106.95,17015,96.26,93.12,17015
2119376,96.26,87.44,16995,96.26,106.64,16995,96.26,93.49,16995
2119386,80.21,87.54,16975,112.3,106.36,16975,80.21,92.87,16975
2119396,80.21,86.67,16955,112.3,107.06,16955,96.26,92.32,16955
2119406,96.26,86.86,16935,96.26,106.73,16935,96.26,92.79,16935
2119416,80.21,87.02,16915,112.3,106.44,16915,96.26,93.2,16915
2119426,80.21,86.22,16895,96.26,106.18,16895,80.21,92.61,16895
2119436,96.26,86.45,16875,112.3,105.96,16875,96.26,92.09,16875
