millis,rpm,rpm2
68720,123.38,125.34
68730,123.11,122.80
68740,123.08,122.37
68750,123.09,122.80
68760,123.09,122.46
68770,123.11,123.84
68780,123.08,123.23
68790,123.09,122.12
68800,123.09,123.58
68810,123.11,122.97
68820,123.09,122.97
68830,122.84,124.28
68840,105.73,121.86
68850,123.06,123.66
68860,123.13,122.80
68870,123.09,121.44
68880,123.08,123.06
68890,123.11,122.71
68900,123.08,122.89
68910,123.11,123.93
68920,123.09,121.78
68930,123.08,121.44
68940,123.11,122.03
68950,123.09,121.44
68960,123.09,122.97
68970,123.08,122.20
68980,123.09,120.94
68990,123.09,122.63
69000,123.09,122.12
69010,123.09,122.20
69020,123.09,123.23
69030,123.11,121.19
69040,105.51,122.80
69050,123.06,122.20
69060,123.13,121.03
69070,123.09,122.03
69080,123.08,121.53
69090,123.11,121.61
69100,123.08,123.32
69110,123.11,121.53
69120,123.09,120.53
69130,123.09,121.03
69140,123.09,119.79
69150,123.06,121.78
69160,105.53,121.19
69170,123.09,121.36
69180,123.11,123.06
69190,123.09,120.94
69200,123.09,120.20
69210,123.09,120.45
69220,123.09,119.38
69230,123.09,121.61
69240,105.51,120.86
69250,123.09,121.11
69260,123.09,122.80
69270,123.09,120.36
69280,123.08,119.54
69290,123.09,119.95
69300,123.11,118.90
69310,105.51,120.53
69320,123.08,120.28
69330,123.09,120.53
69340,123.11,122.20
69350,123.09,120.28
69360,123.09,119.54
69370,105.50,120.45
69380,123.09,119.06
69390,123.11,120.12
69400,123.08,119.87
69410,123.09,119.79
69420,123.11,121.19
69430,105.51,118.66
69440,123.09,120.94
69450,123.09,120.20
69460,123.08,119.38
69470,123.11,120.61
69480,105.51,119.54
69490,123.09,118.82
69500,123.09,119.14
69510,123.09,117.86
69520,123.09,119.63
69530,105.50,118.98
69540,123.11,119.06
69550,123.09,120.36
69560,123.08,118.34
69570,105.52,119.54
69580,123.09,119.06
69590,123.09,117.94
69600,123.09,119.54
69610,105.51,118.74
69620,123.09,118.50
69630,123.09,118.90
69640,123.09,118.66
69650,123.09,120.36
69660,105.50,119.46
69670,123.09,119.63
69680,123.09,120.78
69690,123.11,118.42
69700,105.51,119.30
69710,123.08,118.42
69720,123.11,117.08
69730,123.09,118.10
69740,105.50,117.08
69750,123.11,116.46
69760,123.08,117.08
69770,105.52,116.30
69780,123.09,117.70
69790,123.08,117.39
69800,105.52,116.53
69810,123.08,117.31
69820,123.09,116.84
69830,105.52,118.42
69840,123.09,118.10
69850,123.06,118.34
69860,123.13,119.87
69870,105.50,117.31
69880,123.11,119.06
69890,123.09,118.34
69900,105.51,118.50
69910,123.09,119.95
69920,123.09,117.86
69930,123.09,117.23
69940,105.50,118.34
69950,123.11,117.16
69960,123.08,118.50
69970,105.51,117.63
69980,123.11,116.92
69990,123.09,117.55
70000,123.09,117.00
70010,105.51,118.34
70020,123.09,117.86
70030,123.09,117.94
70040,105.51,117.47
70050,123.09,116.92
70060,123.08,118.66
70070,105.51,117.94
70080,123.11,118.10
70090,123.08,119.63
70100,123.11,117.70
70110,105.50,118.82
70120,123.11,118.02
70130,123.08,117.08
70140,105.52,119.54
70150,123.06,117.70
70160,123.13,117.00
70170,122.91,117.39
70180,105.66,116.92
70190,123.09,118.18
70200,123.11,117.70
70210,105.51,116.84
70220,123.08,117.08
70230,123.09,116.38
70240,105.52,117.94
70250,123.08,117.39
70260,123.09,117.39
70270,105.52,116.61
70280,123.08,115.69
70290,123.11,117.39
70300,105.51,116.46
70310,123.09,116.07
70320,105.50,115.39
70330,123.09,114.49
70340,123.09,116.30
70350,105.49,115.77
70360,123.12,116.00
70370,105.51,115.46
70380,123.11,114.63
70390,105.51,115.92
70400,123.09,115.24
70410,123.08,115.16
70420,105.51,114.63
70430,123.09,114.19
70440,105.51,115.69
70450,123.11,115.46
70460,105.50,114.41
70470,123.09,114.71
70480,105.51,113.75
70490,123.11,115.09
70500,105.51,114.49
70510,123.09,114.19
70520,105.51,115.24
70530,123.08,113.82
70540,105.52,116.23
70550,123.09,113.97
70560,122.79,113.60
70570,105.77,114.86
70580,123.09,113.82
70590,105.50,116.07
70600,123.09,113.89
70610,105.52,114.93
70620,123.08,114.41
70630,105.52,114.56
70640,123.09,115.77
70650,105.51,113.09
70660,123.09,114.56
70670,105.51,113.89
70680,105.50,113.23
70690,123.09,113.82
70700,105.49,113.16
70710,123.12,114.11
70720,105.51,113.23
70730,123.09,112.94
70740,105.52,114.11
70750,123.06,112.80
70760,105.53,115.16
70770,123.11,113.16
70780,105.51,114.41
70790,123.09,113.82
70800,105.50,113.60
70810,105.52,112.94
70820,123.09,112.36
70830,105.50,113.82
70840,123.11,113.38
70850,105.51,112.22
70860,123.08,112.72
70870,105.52,112.29
70880,123.09,113.67
70890,105.50,112.58
70900,105.52,113.52
70910,123.08,113.23
70920,105.51,113.31
70930,123.11,114.41
70940,105.50,111.65
70950,105.52,113.16
70960,123.09,112.94
70970,105.50,111.72
70980,123.11,112.15
70990,105.51,111.65
71000,105.51,114.11
71010,123.09,112.08
71020,105.50,113.01
71030,123.11,112.58
71040,105.51,112.65
71050,105.51,112.01
71060,123.09,111.16
71070,105.51,112.80
71080,123.09,112.36
71090,105.50,111.02
71100,105.52,112.08
71110,123.09,111.30
71120,105.51,113.45
71130,105.51,110.81
71140,123.08,112.65
71150,105.51,112.01
71160,105.52,110.81
71170,123.09,111.37
71180,105.51,110.95
71190,123.08,111.94
71200,105.52,111.16
71210,105.51,112.44
71220,123.09,111.58
71230,105.51,111.44
71240,105.51,111.23
71250,123.09,110.46
71260,105.50,111.65
71270,105.52,110.95
71280,123.08,110.46
71290,105.51,111.23
71300,105.52,111.37
71310,105.50,110.95
71320,123.09,110.04
71330,105.52,111.44
71340,105.51,110.74
71350,123.09,109.91
71360,105.50,111.02
71370,105.52,111.16
71380,123.08,112.22
71390,105.52,109.77
71400,105.48,111.23
71410,123.08,110.53
71420,105.54,109.91
71430,105.52,110.74
71440,105.50,110.46
71450,123.11,111.86
71460,105.50,109.43
71470,105.52,110.67
71480,105.51,110.11
71490,123.08,109.43
71500,105.52,110.32
71510,105.51,110.46
71520,123.08,111.65
71530,105.52,109.16
71540,105.51,110.53
71550,105.51,109.56
71560,123.09,109.43
71570,105.50,110.04
71580,105.52,109.91
71590,105.51,109.56
71600,123.09,108.75
71610,105.50,110.18
71620,105.51,109.22
71630,105.51,110.25
71640,105.52,109.84
71650,123.06,109.63
71660,105.53,109.09
71670,105.52,108.55
71680,105.51,110.81
71690,123.08,109.02
71700,105.52,109.91
71710,105.50,109.43
71720,105.51,108.42
71730,105.52,109.16
71740,123.09,108.22
71750,105.50,110.46
71760,105.52,108.02
71770,105.51,109.16
71780,105.51,108.48
71790,123.08,107.95
71800,105.49,108.82
71810,105.54,109.02
71820,105.51,108.42
71830,105.51,107.95
71840,105.51,110.11
71850,123.06,108.28
71860,105.54,109.16
71870,105.51,108.48
71880,105.51,107.69
71890,105.51,108.48
71900,105.51,108.62
71910,123.09,109.70
71920,105.51,107.29
71930,105.51,108.48
71940,105.51,107.82
71950,105.50,108.68
71960,105.52,108.08
71970,123.09,108.08
71980,105.51,107.55
71990,105.51,106.90
72000,105.51,109.22
72010,105.51,106.90
72020,105.51,108.22
72030,105.51,107.42
72040,105.50,108.48
72050,123.11,107.95
72060,105.51,107.69
72070,105.50,107.29
72080,105.52,106.45
72090,105.51,108.82
72100,105.48,106.25
72110,105.54,107.55
72120,105.51,106.71
72130,105.51,107.75
72140,105.51,106.96
72150,123.09,107.16
72160,105.51,106.45
72170,105.50,106.00
72180,105.51,108.22
72190,105.52,105.93
72200,105.50,107.36
72210,105.52,106.45
72220,105.50,107.62
72230,105.51,106.71
72240,105.52,106.06
72250,105.51,106.77
72260,105.50,106.90
72270,105.52,106.32
72280,105.51,105.87
72290,105.51,107.88
72300,123.09,106.19
72310,105.51,107.29
72320,105.51,106.51
72330,105.50,105.62
72340,105.51,106.32
72350,105.52,106.45
72360,105.50,105.81
72370,105.52,105.43
72380,105.50,107.36
72390,105.52,104.99
72400,105.48,106.13
72410,105.53,105.30
72420,105.52,106.45
72430,105.51,105.55
72440,105.50,104.92
72450,105.52,105.62
72460,105.50,105.81
72470,105.52,105.17
72480,105.51,104.67
72490,105.51,106.83
72500,105.51,104.49
72510,105.51,105.74
72520,105.51,104.80
72530,105.51,105.81
72540,105.50,105.17
72550,105.51,104.18
72560,105.52,105.05
72570,105.51,104.99
72580,105.51,104.49
72590,105.51,104.05
72600,105.50,106.13
72610,105.52,103.93
72620,105.51,105.24
72630,87.92,103.87
72640,105.52,105.24
72650,105.51,104.36
72660,105.51,105.17
72670,105.50,104.61
72680,105.52,103.56
72690,105.51,104.49
72700,105.51,104.55
72710,105.51,104.05
72720,105.50,103.69
72730,105.52,105.68
72740,105.51,103.38
72750,105.48,104.61
72760,105.54,103.69
72770,105.51,104.55
72780,87.92,103.56
72790,105.51,104.49
72800,105.49,103.87
72810,105.54,103.26
72820,105.51,104.11
72830,105.51,103.99
72840,105.51,103.50
72850,105.50,102.84
72860,105.52,105.11
72870,105.50,102.72
72880,105.29,103.99
72890,88.12,102.78
72900,105.50,103.99
72910,105.51,103.02
72920,105.52,103.93
72930,105.51,103.44
72940,105.51,102.60
72950,105.50,103.32
72960,105.51,103.44
72970,87.93,103.32
72980,105.50,103.26
72990,105.52,102.96
73000,105.51,102.30
73010,105.50,104.30
73020,105.51,102.06
73030,105.52,103.32
73040,87.92,101.88
73050,105.51,103.08
73060,105.51,102.42
73070,105.50,103.38
73080,105.51,102.66
73090,105.52,101.76
73100,87.92,102.66
73110,105.51,101.65
73120,105.52,102.54
73130,105.50,102.54
73140,105.52,102.12
73150,87.92,102.42
73160,105.51,102.06
73170,105.51,101.59
73180,105.50,103.56
73190,105.52,101.18
73200,105.48,102.30
73210,87.94,101.12
73220,105.52,102.54
73230,105.51,101.65
73240,105.50,102.54
73250,105.43,101.82
73260,88.00,102.48
73270,105.52,101.71
73280,105.50,100.89
73290,105.51,101.71
73300,87.93,100.95
73310,105.51,101.82
73320,105.50,101.71
73330,105.51,101.30
73340,105.51,100.83
73350,87.93,101.18
73360,105.51,100.43
73370,105.51,102.66
73380,105.50,100.43
73390,87.93,102.60
73400,105.51,100.26
73410,105.50,101.41
73420,105.51,100.60
73430,87.93,101.35
73440,105.51,100.49
73450,105.51,101.47
73460,87.92,100.43
73470,105.51,101.41
73480,105.51,100.89
73490,105.50,100.09
73500,87.93,100.83
73510,105.50,100.03
73520,105.52,100.77
73530,105.51,100.66
73540,87.92,100.60
73550,105.49,100.60
73560,105.54,100.14
73570,87.92,100.43
73580,105.50,100.03
73590,105.52,99.52
73600,105.51,101.59
73610,87.92,99.41
73620,105.52,101.41
73630,105.51,99.13
73640,87.92,101.24
73650,105.51,99.01
73660,105.51,100.26
73670,87.92,98.90
73680,105.51,100.14
73690,105.52,99.41
73700,87.90,100.09
73710,105.54,99.29
73720,105.51,100.37
73730,87.92,99.18
73740,105.51,100.14
73750,105.52,99.58
73760,87.92,100.03
73770,105.51,99.41
73780,105.51,98.57
73790,87.92,99.29
73800,105.52,98.57
73810,87.92,99.07
73820,105.51,98.30
73830,105.50,99.13
73840,87.93,98.41
73850,105.50,99.13
73860,105.52,99.07
73870,87.92,99.01
73880,105.50,98.90
73890,87.92,98.79
73900,105.52,98.90
73910,105.51,98.52
73920,87.92,98.90
73930,105.51,98.52
73940,105.51,97.86
73950,87.92,98.35
73960,105.50,97.59
73970,87.93,98.08
73980,105.50,97.53
73990,105.51,99.58
74000,87.91,97.53
74010,105.54,99.58
74020,87.92,97.59
74030,105.52,99.52
74040,87.92,97.37
74050,105.50,99.46
74060,105.52,97.10
74070,87.92,99.24
74080,105.52,96.99
74090,87.92,99.13
74100,105.50,96.99
74110,87.93,99.13
74120,105.51,96.99
74130,105.51,98.02
74140,87.92,96.89
74150,105.51,97.97
74160,87.92,96.73
74170,105.51,97.80
74180,87.92,96.51
74190,105.50,97.75
74200,87.92,96.36
74210,105.51,97.69
74220,87.92,96.30
74230,105.52,97.64
74240,87.92,96.25
74250,105.51,97.53
74260,87.92,96.09
74270,105.51,97.42
74280,87.92,95.99
74290,105.51,97.26
74300,87.92,95.94
74310,105.52,97.15
74320,87.92,95.67
74330,105.49,96.89
74340,87.92,95.57
74350,105.53,96.83
74360,87.92,95.47
74370,105.50,96.73
74380,87.92,95.42
74390,105.52,96.73
74400,87.92,95.42
74410,105.51,96.73
74420,87.92,95.42
74430,105.51,96.62
74440,87.92,95.21
74450,105.52,96.51
74460,87.92,95.21
74470,105.52,96.41
74480,87.92,95.16
74490,87.92,97.26
74500,105.49,95.00
74510,87.95,97.05
74520,105.50,95.00
74530,87.92,96.94
74540,105.51,94.95
74550,87.93,96.89
74560,105.51,94.85
74570,87.92,96.83
74580,87.92,94.70
74590,105.52,96.73
74600,87.92,94.59
74610,105.51,96.62
74620,87.92,94.39
74630,105.51,96.46
74640,87.92,94.39
74650,87.93,94.85
74660,105.51,94.49
74670,87.92,94.90
74680,105.50,94.44
74690,87.93,94.80
74700,87.92,95.00
74710,105.51,94.59
74720,87.92,94.80
74730,105.50,94.49
74740,87.93,94.75
74750,87.92,94.70
74760,105.52,94.75
74770,87.92,94.70
74780,87.93,93.94
74790,105.50,94.70
74800,87.93,93.79
74810,105.51,94.44
74820,87.92,93.69
74830,87.93,94.24
74840,105.51,93.64
74850,87.92,94.29
74860,87.92,94.75
74870,105.50,94.24
74880,87.93,94.59
74890,87.92,93.44
74900,105.51,94.54
74910,87.92,93.44
74920,87.92,93.99
74930,105.52,93.39
74940,87.92,94.04
74950,87.92,92.75
74960,105.52,93.99
74970,87.92,92.85
74980,87.92,94.80
74990,105.50,92.65
75000,87.93,94.59
75010,87.92,92.46
75020,105.51,94.44
75030,87.92,92.60
75040,87.92,93.14
75050,87.92,93.29
75060,105.51,93.04
75070,87.92,93.19
75080,87.92,93.04
75090,105.52,92.94
75100,87.92,92.89
75110,87.92,92.21
75120,87.93,92.60
75130,105.51,91.92
75140,87.92,92.70
75150,87.92,93.24
75160,87.92,92.16
75170,105.51,93.04
75180,87.93,92.12
75190,87.92,92.85
75200,87.92,91.54
75210,105.51,92.60
75220,87.92,91.54
75230,87.92,93.49
75240,87.92,91.54
75250,105.51,93.39
75260,87.92,91.26
75270,87.92,91.88
75280,87.92,92.12
75290,105.52,91.64
75300,87.92,91.78
75310,87.92,91.83
75320,87.92,91.16
75330,87.93,91.83
75340,105.51,91.07
75350,87.92,91.68
75360,87.92,92.21
75370,87.92,91.40
75380,105.51,92.21
75390,87.93,91.11
75400,87.92,91.59
75410,87.92,90.46
75420,87.92,92.50
75430,105.51,90.74
75440,87.93,92.60
75450,87.92,90.50
75460,87.92,90.97
75470,87.92,91.11
75480,87.93,91.11
75490,105.51,91.26
75500,87.92,91.11
75510,87.92,90.46
75520,87.92,90.93
75530,87.92,91.26
75540,87.93,90.41
75550,105.50,91.45
75560,87.93,90.64
75570,87.92,91.16
75580,87.92,89.90
75590,87.92,91.64
75600,87.92,89.58
75610,105.50,91.54
75620,87.93,89.63
75630,87.92,90.32
75640,87.92,90.69
75650,87.93,90.46
75660,87.92,89.81
75670,87.92,90.18
75680,87.92,90.55
75690,105.51,89.86
75700,87.92,90.27
75710,87.93,89.45
75720,87.92,90.13
75730,87.92,89.13
75740,87.93,91.21
75750,87.90,89.40
75760,87.94,89.81
75770,87.92,89.99
75780,105.52,89.58
75790,87.92,89.81
75800,87.92,89.58
75810,87.92,88.81
75820,87.92,89.35
75830,87.93,89.72
75840,87.92,88.72
75850,87.92,89.35
75860,87.92,88.23
75870,87.92,90.18
75880,87.92,88.15
75890,87.92,88.81
75900,87.93,88.99
75910,87.92,89.13
75920,105.50,89.17
75930,87.92,89.31
75940,87.92,88.72
75950,87.93,89.49
75960,87.92,89.81
75970,87.92,88.99
75980,87.92,89.63
75990,87.92,88.46
76000,87.92,90.23
76010,87.92,88.32
76020,87.92,88.63
76030,87.92,88.86
76040,87.92,88.54
76050,87.92,87.92
76060,87.92,88.41
76070,87.92,88.86
76080,87.93,87.84
76090,87.92,88.59
76100,87.92,87.44
76110,87.92,89.22
76120,87.92,87.49
76130,87.93,87.88
76140,105.36,87.53
76150,88.00,88.06
76160,87.97,88.32
76170,87.93,88.23
76180,87.92,87.66
76190,87.92,88.32
76200,87.92,88.77
76210,87.93,87.97
76220,87.92,88.68
76230,87.92,87.57
76240,87.92,89.40
76250,87.92,87.40
76260,87.92,88.06
76270,87.92,88.06
76280,87.92,87.97
76290,87.92,87.10
76300,87.92,87.49
76310,87.93,87.84
76320,87.92,86.71
76330,87.93,87.40
76340,70.34,86.37
76350,87.92,86.71
76360,87.92,87.14
76370,87.92,87.01
76380,87.92,86.46
76390,87.92,87.18
76400,87.92,87.40
76410,87.92,86.54
76420,87.92,86.97
76430,87.92,85.74
76440,87.92,87.57
76450,87.92,85.82
76460,87.92,86.37
76470,87.92,86.58
76480,87.92,86.58
76490,70.35,86.80
76500,87.92,85.86
76510,87.93,86.46
76520,87.92,85.36
76530,87.92,87.14
76540,87.92,85.36
76550,87.90,86.03
76560,87.94,86.07
76570,87.93,85.70
76580,70.34,86.24
76590,87.92,85.41
76600,87.93,86.16
76610,87.92,84.99
76620,87.92,86.67
76630,87.92,84.83
76640,87.93,85.28
76650,87.92,85.41
76660,70.34,85.45
76670,87.92,85.74
76680,87.93,84.75
76690,87.92,85.45
76700,87.92,84.50
76710,87.93,86.33
76720,70.34,85.16
76730,87.92,84.87
76740,87.93,84.38
76750,87.90,85.12
76760,87.95,85.45
76770,87.92,84.46
76780,70.34,85.74
76790,87.92,83.94
76800,87.93,84.54
76810,87.92,84.62
76820,87.93,84.46
76830,70.34,84.87
76840,87.92,84.10
76850,87.92,84.79
76860,87.92,83.62
76870,87.93,85.53
76880,70.34,84.26
76890,87.92,83.98
76900,87.92,83.58
76910,87.93,84.10
76920,70.34,84.34
76930,87.92,83.26
76940,87.92,85.12
76950,87.93,83.18
76960,87.92,83.54
76970,70.34,83.26
76980,87.92,83.86
76990,87.92,84.18
77000,87.92,83.34
77010,70.35,84.87
77020,87.92,82.87
77030,87.92,83.18
77040,87.92,83.38
77050,70.33,83.30
77060,87.92,83.86
77070,87.93,83.07
77080,87.92,83.62
77090,70.34,82.56
77100,87.93,83.18
77110,87.92,83.18
77120,70.33,82.83
77130,87.93,83.26
77140,87.92,82.37
77150,87.92,83.03
77160,70.34,82.02
77170,87.92,82.44
77180,87.92,82.83
77190,70.33,82.83
77200,87.93,83.22
77210,87.92,82.52
77220,70.33,83.86
77230,87.93,82.06
77240,87.92,82.64
77250,87.92,82.68
77260,70.34,82.52
77270,87.92,82.75
77280,87.93,81.79
77290,70.34,83.07
77300,87.92,81.26
77310,87.92,81.64
77320,70.34,81.07
77330,87.92,81.41
77340,70.33,81.68
77350,87.92,80.55
77360,87.93,82.33
77370,70.34,81.19
77380,87.92,81.26
77390,87.93,80.70
77400,70.34,80.92
77410,87.92,81.68
77420,70.34,80.67
77430,87.92,81.34
77440,87.93,81.41
77450,70.33,81.56
77460,87.92,81.90
77470,87.93,81.22
77480,70.34,82.56
77490,87.92,80.92
77500,70.34,81.60
77510,87.92,80.92
77520,87.92,81.49
77530,70.35,81.83
77540,87.92,80.85
77550,87.92,82.29
77560,70.34,81.34
77570,87.93,81.15
77580,70.33,81.60
77590,87.93,80.70
77600,87.92,81.34
77610,70.34,80.33
77620,87.92,80.63
77630,70.34,80.08
77640,87.93,80.37
77650,87.92,80.67
77660,70.34,79.61
77670,87.92,81.37
77680,70.34,80.30
77690,87.92,80.33
77700,70.34,80.81
77710,87.92,80.04
77720,87.92,80.48
77730,70.33,79.46
77740,87.93,79.79
77750,70.34,79.25
77760,87.92,79.93
77770,70.34,80.19
77780,87.92,79.28
77790,70.34,79.61
77800,87.92,79.79
77810,70.35,79.57
77820,87.92,79.75
77830,70.35,78.75
77840,87.92,80.44
77850,70.33,79.57
77860,87.93,79.25
77870,70.34,79.61
77880,87.92,78.68
77890,70.35,80.15
77900,87.92,78.43
77910,70.34,78.96
77920,87.92,78.54
77930,70.34,78.57
77940,87.92,79.21
77950,70.34,78.12
77960,87.92,78.54
77970,70.33,78.26
77980,87.93,78.61
77990,70.33,78.82
78000,87.93,77.91
78010,70.34,78.29
78020,87.92,78.47
78030,70.33,78.36
78040,87.93,78.79
78050,70.33,77.84
78060,70.34,78.26
78070,87.92,78.29
78080,70.35,78.26
78090,87.92,78.61
78100,70.33,77.57
78110,87.92,79.03
78120,70.34,77.91
78130,87.93,77.88
78140,70.34,78.29
78150,70.33,77.19
78160,87.92,78.93
78170,70.35,77.91
78180,87.92,77.60
78190,70.33,77.81
78200,70.35,76.89
78210,87.92,78.54
78220,70.34,77.47
78230,87.92,77.36
78240,70.34,77.84
78250,70.33,76.76
78260,87.94,78.33
78270,70.34,77.19
78280,87.92,77.09
78290,70.35,77.40
78300,70.32,76.46
78310,87.95,77.95
78320,70.34,76.96
78330,87.92,76.86
78340,70.35,77.33
78350,70.33,76.19
78360,87.93,77.78
78370,70.34,76.86
78380,70.34,76.72
78390,87.92,77.16
78400,70.33,76.13
78410,70.35,76.39
78420,87.92,76.36
78430,70.34,76.32
78440,70.34,76.46
78450,87.92,75.63
78460,70.33,76.06
78470,70.34,75.47
78480,87.92,75.90
78490,70.35,76.06
78500,70.33,75.12
78510,87.92,75.70
78520,70.34,75.15
78530,70.35,75.38
78540,87.92,75.73
78550,70.34,74.77
78560,70.34,75.38
78570,70.33,75.67
78580,87.93,74.89
78590,70.34,76.19
78600,70.34,75.28
78610,87.92,75.28
78620,70.35,75.76
78630,70.33,74.67
78640,70.35,75.09
78650,87.92,75.31
78660,70.35,75.25
78670,70.34,75.47
78680,70.34,74.48
78690,87.92,74.89
78700,70.35,74.45
78710,70.34,74.54
78720,70.33,75.60
78730,87.93,73.86
78740,70.34,74.45
78750,70.33,74.86
78760,70.34,73.79
78770,87.92,75.44
78780,70.34,74.32
78790,70.35,74.26
78800,70.33,74.39
78810,87.91,73.61
78820,70.35,73.95
78830,70.35,73.55
78840,70.33,73.52
78850,70.35,74.93
78860,87.92,73.33
78870,70.34,73.73
78880,70.33,73.89
78890,70.35,72.88
78900,70.34,73.39
78910,70.33,73.03
78920,87.93,73.49
78930,70.33,73.55
78940,70.35,72.64
78950,70.33,73.24
78960,70.34,73.61
78970,70.35,72.64
78980,87.92,74.17
78990,70.35,73.00
79000,70.34,73.12
79010,70.34,73.45
79020,70.33,72.43
79030,70.34,72.79
79040,87.87,72.31
79050,70.38,72.25
79060,70.35,73.58
79070,70.34,72.52
79080,70.33,72.58
79090,70.34,73.03
79100,70.35,72.13
79110,70.34,72.49
79120,87.92,71.86
79130,70.34,71.80
79140,70.34,73.15
79150,70.33,72.13
79160,70.34,72.16
79170,70.34,72.49
79180,70.34,71.60
79190,70.35,71.98
79200,70.33,72.37
79210,70.34,71.34
79220,70.35,71.89
79230,87.92,71.69
79240,70.33,71.83
79250,70.35,72.04
79260,70.34,71.14
79270,70.34,71.57
79280,70.34,71.86
79290,70.33,71.08
79300,70.34,71.45
79310,70.34,71.05
79320,70.34,71.22
79330,70.35,72.31
79340,70.34,71.57
79350,70.34,71.40
79360,70.33,71.78
79370,70.35,70.74
79380,87.92,71.11
79390,70.35,70.65
79400,70.33,70.71
79410,70.34,71.83
79420,70.35,70.85
79430,70.34,70.74
79440,70.34,70.96
79450,70.33,70.14
79460,70.34,70.45
79470,70.35,70.82
79480,70.33,69.98
79490,70.34,70.42
79500,70.35,70.06
79510,70.34,70.26
79520,70.33,71.17
79530,70.34,70.37
79540,70.35,70.34
79550,70.34,70.71
79560,70.34,69.67
79570,70.33,70.17
79580,70.35,70.42
79590,70.33,69.64
79600,70.35,70.00
79610,70.34,69.70
79620,70.33,69.42
79630,70.35,70.68
79640,70.34,69.56
79650,70.33,69.51
79660,70.31,69.84
79670,52.78,69.45
79680,70.34,69.40
79690,70.34,69.75
79700,70.34,68.75
79710,70.35,69.18
79720,70.33,69.40
79730,70.35,68.34
79740,70.33,68.88
79750,70.35,68.50
79760,70.34,68.72
79770,70.34,69.81
79780,70.33,68.69
79790,70.34,68.72
79800,52.76,69.53
79810,70.33,68.75
79820,70.34,68.72
79830,70.35,69.01
79840,70.33,68.11
79850,70.35,68.45
79860,70.34,68.85
79870,70.34,68.13
79880,70.34,68.34
79890,70.34,68.05
79900,52.75,67.69
79910,70.33,68.26
79920,70.34,67.79
79930,70.35,67.87
79940,70.34,69.04
79950,70.34,67.92
79960,70.34,67.69
79970,70.34,68.03
79980,52.75,67.38
79990,70.34,67.53
80000,70.35,67.92
80010,70.34,66.96
80020,70.34,67.45
80030,70.33,67.53
80040,52.75,66.74
80050,70.35,67.14
80060,70.34,67.43
80070,70.34,66.46
80080,70.34,66.81
80090,52.75,67.20
80100,70.35,66.21
80110,70.34,66.66
80120,70.34,66.33
80130,70.33,66.28
80140,52.76,66.26
80150,70.33,65.96
80160,70.35,65.86
80170,70.34,66.94
80180,52.75,65.76
80190,70.34,65.62
80200,70.34,66.71
80210,70.33,65.79
80220,52.75,65.52
80230,70.34,66.58
80240,70.34,65.64
80250,70.35,65.81
80260,52.75,66.56
80270,70.33,65.64
80280,70.35,65.91
80290,52.75,66.64
80300,70.35,65.54
80310,70.34,65.66
80320,70.34,65.98
80330,52.75,65.40
80340,70.35,65.25
80350,70.34,65.54
80360,70.34,64.72
80370,52.75,65.25
80380,70.34,65.37
80390,70.33,64.60
80400,52.75,65.30
80410,70.35,65.44
80420,70.34,64.39
80430,52.75,64.67
80440,70.33,64.91
80450,70.34,64.16
80460,52.76,64.77
80470,70.34,64.91
80480,70.34,63.95
80490,52.75,64.32
80500,70.32,64.65
80510,70.35,63.83
80520,52.75,64.39
80530,70.35,64.63
80540,70.33,63.62
80550,52.75,63.92
80560,70.35,64.16
80570,70.33,63.30
80580,52.76,63.92
80590,70.34,64.20
80600,52.75,63.67
80610,70.34,63.69
80620,70.33,63.90
80630,52.75,63.26
80640,70.35,63.14
80650,52.75,63.95
80660,70.34,62.96
80670,70.34,62.96
80680,52.75,63.83
80690,70.35,62.69
80700,52.75,62.54
80710,70.34,63.69
80720,52.75,62.38
80730,70.35,62.54
80740,70.34,63.64
80750,52.75,62.40
80760,70.34,62.54
80770,52.75,62.89
80780,70.34,46.12
80790,52.75,62.47
80800,70.35,62.85
80810,70.34,62.42
80820,52.75,62.34
80830,70.34,62.80
80840,52.75,62.89
80850,70.34,62.16
80860,52.75,62.25
80870,70.34,62.56
80880,70.34,61.88
80890,52.75,62.14
80900,70.35,62.40
80910,52.75,61.66
80920,70.34,62.07
80930,52.76,62.45
80940,70.34,61.64
80950,52.75,62.25
80960,70.35,62.38
80970,52.75,61.79
80980,70.35,61.77
80990,52.75,62.45
81000,70.34,61.29
81010,52.75,60.95
81020,70.35,61.79
81030,52.75,60.60
81040,70.35,60.53
81050,52.75,60.91
81060,70.34,60.41
81070,52.75,60.18
81080,52.75,60.35
81090,70.34,60.58
81100,52.74,59.87
81110,70.36,60.31
81120,52.75,60.62
81130,70.34,59.69
81140,52.75,60.04
81150,52.75,60.62
81160,70.35,59.73
81170,52.75,59.53
81180,70.34,60.31
81190,52.75,59.27
81200,52.74,59.19
81210,70.35,59.53
81220,52.75,59.55
81230,70.34,58.95
81240,52.76,59.23
81250,52.75,59.59
81260,70.35,58.46
81270,52.75,58.93
81280,52.75,59.57
81290,70.35,58.60
81300,52.75,58.42
81310,52.75,58.69
81320,70.35,58.15
81330,52.75,58.04
81340,52.75,58.13
81350,70.34,58.44
81360,52.75,57.86
81370,52.75,58.19
81380,70.35,58.25
81390,52.75,57.67
81400,52.75,57.43
81410,52.75,57.83
81420,70.34,57.39
