millis,rpm,rpm2
25740,52.75,58.36
25750,70.34,57.58
25760,52.76,57.92
25770,52.75,58.52
25780,52.76,57.30
25790,70.34,57.19
25800,52.75,57.52
25810,52.76,57.62
25820,52.75,57.00
25830,70.35,56.98
25840,52.75,57.41
25850,52.74,56.82
25860,52.77,56.63
25870,70.34,57.49
25880,52.75,56.42
25890,52.75,56.15
25900,52.75,56.33
25910,70.35,56.56
25920,52.75,55.97
25930,52.74,56.36
25940,52.75,56.89
25950,52.75,55.95
25960,70.33,55.70
25970,52.77,56.11
25980,52.75,56.09
25990,52.76,55.53
26000,52.75,55.97
26010,52.76,42.77
26020,70.34,55.46
26030,52.75,55.14
26040,52.75,55.53
26050,52.75,55.54
26060,52.75,54.97
26070,52.76,55.30
26080,52.75,55.91
26090,70.34,54.82
26100,52.75,54.65
26110,52.76,54.83
26120,52.75,54.71
26130,52.75,54.14
26140,52.76,54.59
26150,52.74,54.97
26160,52.77,53.96
26170,52.75,53.73
26180,52.75,53.68
26190,52.75,54.16
26200,70.35,53.38
26210,52.75,53.63
26220,52.75,54.12
26230,52.76,53.06
26240,52.75,52.79
26250,52.75,52.89
26260,52.75,53.42
26270,52.75,52.79
26280,52.75,52.49
26290,52.75,52.81
26300,52.76,52.73
26310,52.75,52.21
26320,52.75,52.48
26330,52.76,53.01
26340,52.75,52.17
26350,52.75,51.80
26360,52.75,51.92
26370,52.75,52.40
26380,35.17,51.74
26390,52.75,51.51
26400,52.76,51.55
26410,52.75,52.09
26420,52.75,51.43
26430,52.75,51.27
26440,52.76,51.64
26450,52.75,51.39
26460,52.75,50.87
26470,52.75,51.06
26480,52.75,51.55
26490,52.76,50.37
26500,35.17,50.20
26510,52.75,50.42
26520,52.76,50.93
26530,52.75,49.91
26540,52.75,49.68
26550,52.76,49.61
26560,52.75,50.01
26570,35.17,49.40
26580,52.75,49.15
26590,52.75,49.22
26600,52.76,49.73
26610,52.75,49.11
26620,35.17,48.86
26630,52.75,48.63
26640,52.76,49.20
26650,52.75,48.67
26660,52.64,48.47
26670,35.24,48.36
26680,52.75,48.93
26690,52.75,48.23
26700,52.75,47.94
26710,35.17,47.82
26720,52.76,48.38
26730,52.75,47.66
26740,35.17,47.51
26750,52.75,47.40
26760,52.75,48.01
26770,52.76,47.45
26780,35.17,47.14
26790,52.75,47.14
26800,52.76,47.68
26810,35.17,47.03
26820,52.75,46.77
26830,52.75,46.66
26840,35.17,47.51
26850,52.76,46.61
26860,52.75,46.35
26870,35.17,46.69
26880,52.76,47.12
26890,52.75,46.24
26900,35.17,45.96
26910,52.76,46.29
26920,35.17,46.34
26930,52.75,45.81
26940,52.76,45.45
26950,35.17,45.43
26960,52.75,45.87
26970,35.17,45.96
26980,52.75,45.30
26990,52.75,45.07
27000,35.16,44.87
27010,52.77,45.39
27020,35.17,44.78
27030,52.75,44.46
27040,35.17,44.80
27050,52.74,45.23
27060,35.18,44.53
27070,52.75,44.12
27080,35.17,44.05
27090,52.76,44.34
27100,52.75,43.96
27110,35.17,43.67
27120,35.17,43.51
27130,52.75,43.37
27140,35.17,44.23
27150,52.75,43.36
27160,35.17,43.15
27170,52.75,43.15
27180,35.17,43.26
27190,52.75,42.79
27200,35.17,42.50
27210,52.76,42.28
27220,35.17,42.05
27230,35.17,42.81
27240,52.76,42.06
27250,35.17,41.51
27260,52.75,41.61
27270,35.17,41.75
27280,35.17,41.81
27290,52.75,40.98
27300,35.17,40.96
27310,35.17,41.13
27320,52.75,41.42
27330,35.17,40.61
27340,35.17,40.25
27350,35.16,40.27
27360,52.77,39.97
27370,35.17,40.74
27380,35.17,39.83
27390,52.75,39.49
27400,35.17,39.29
27410,35.17,39.09
27420,35.17,39.85
27430,52.75,39.09
27440,35.17,38.75
27450,35.17,38.62
27460,35.17,38.49
27470,35.17,39.31
27480,52.76,38.65
27490,35.17,38.36
27500,35.16,38.18
27510,35.18,37.91
27520,35.17,38.50
27530,35.17,37.63
27540,52.75,37.41
27550,35.17,37.23
27560,35.17,36.94
27570,35.17,37.74
27580,35.17,36.87
27590,35.17,36.69
27600,35.17,36.69
27610,35.17,36.77
27620,35.17,36.95
27630,52.75,36.09
27640,35.17,35.92
27650,35.17,35.90
27660,35.17,35.96
27670,35.17,36.11
27680,35.17,36.04
27690,35.17,35.44
27700,35.16,35.11
27710,35.18,34.74
27720,35.17,34.37
27730,35.17,35.18
27740,35.17,34.36
27750,35.17,34.14
27760,35.17,34.23
27770,35.12,34.27
27780,17.61,33.71
27790,35.17,34.51
27800,35.16,33.66
27810,35.18,33.40
27820,35.17,33.36
27830,35.17,33.35
27840,35.17,33.57
27850,35.17,33.44
27860,35.17,32.99
27870,35.17,32.58
27880,17.59,32.61
27890,35.17,32.57
27900,35.17,32.88
27910,35.17,32.66
27920,35.17,32.12
27930,35.17,31.75
27940,17.58,31.83
27950,35.16,31.81
27960,35.18,32.26
27970,35.17,32.16
27980,35.17,31.83
27990,17.58,31.31
28000,35.17,31.58
28010,35.17,31.68
28020,35.17,32.15
28030,35.17,31.91
28040,17.58,30.98
28050,35.17,30.93
28060,35.17,31.32
28070,35.17,31.53
28080,17.58,30.89
28090,35.17,31.97
28100,35.17,31.23
28110,35.17,31.25
28120,35.17,31.72
28130,17.58,31.51
28140,35.17,31.42
28150,35.17,32.47
28160,35.17,31.77
28170,35.17,31.83
28180,35.17,32.21
28190,17.58,32.05
28200,35.17,31.99
28210,35.17,33.05
28220,35.17,32.33
28230,35.17,32.40
28240,35.17,32.88
28250,35.16,33.09
28260,17.59,32.43
28270,35.17,33.52
28280,35.17,32.92
28290,35.17,33.00
28300,35.16,33.41
28310,35.18,33.72
28320,35.17,34.23
28330,35.17,34.29
28340,35.17,33.99
28350,35.17,33.95
28360,35.17,33.78
28370,17.58,34.15
28380,35.17,34.75
28390,35.17,34.94
28400,35.17,34.70
28410,35.17,34.68
28420,35.17,34.70
28430,35.17,34.64
28440,35.17,35.69
28450,35.16,35.05
28460,35.18,35.12
28470,35.17,35.40
28480,35.17,35.70
28490,35.17,36.17
28500,52.75,35.81
28510,35.17,36.03
28520,35.17,36.35
28530,35.17,36.76
28540,35.17,37.27
28550,35.17,37.35
28560,35.17,37.04
28570,35.17,36.99
28580,35.17,37.08
28590,35.17,37.11
28600,52.75,38.13
28610,35.17,37.87
28620,35.17,37.78
28630,35.17,37.87
28640,35.17,37.90
28650,35.17,38.97
28660,52.76,38.49
28670,35.17,38.45
28680,35.17,38.48
28690,35.17,38.48
28700,35.17,39.49
28710,52.76,39.11
28720,35.17,39.03
28730,35.17,39.09
28740,35.17,39.16
28750,52.75,39.97
28760,35.17,39.63
28770,35.17,39.53
28780,35.17,39.57
28790,52.75,40.43
28800,35.17,40.59
28810,35.17,40.30
28820,52.75,40.43
28830,35.17,40.81
28840,35.17,41.04
28850,35.17,41.25
28860,52.76,40.80
28870,35.17,40.96
28880,35.17,41.48
28890,52.76,42.14
28900,35.17,41.63
28910,52.75,41.68
28920,35.17,41.69
28930,35.17,41.83
28940,52.76,42.80
28950,35.17,42.39
28960,52.76,42.47
28970,35.17,42.87
28980,52.76,43.61
28990,35.17,43.09
29000,35.17,43.04
29010,52.75,43.04
29020,35.17,43.06
29030,52.75,43.92
29040,35.17,43.60
29050,52.76,43.65
29060,35.17,44.07
29070,52.75,44.77
29080,35.17,44.26
29090,52.76,44.25
29100,35.17,44.21
29110,52.76,44.77
29120,35.17,45.00
29130,52.75,44.67
29140,52.75,44.60
29150,35.17,44.53
29160,52.75,45.16
29170,35.17,44.68
29180,52.75,44.68
29190,35.17,45.07
29200,52.75,45.59
29210,35.17,45.01
29220,52.75,44.96
29230,52.75,45.37
29240,35.17,45.50
29250,52.76,60.87
29260,35.17,45.25
29270,52.75,45.32
29280,52.76,45.93
29290,35.17,46.19
29300,52.75,45.83
29310,35.17,45.89
29320,52.75,45.93
29330,52.75,46.74
29340,35.17,46.40
29350,52.76,46.42
29360,52.75,46.62
29370,35.17,47.60
29380,52.76,47.14
29390,52.75,47.12
29400,35.17,47.44
29410,52.75,48.14
29420,52.75,47.54
29430,35.17,47.53
29440,52.75,48.13
29450,52.74,48.75
29460,52.77,48.06
29470,35.17,48.01
29480,52.75,48.60
29490,52.75,49.29
29500,52.76,48.56
29510,35.17,48.55
29520,52.76,49.13
29530,52.75,49.87
29540,52.75,49.12
29550,52.75,49.02
